Key,Issue Type,Summary,Status,Created,Backlog,Cancelled,Code Review,Completed,Deployed to production,Done,Draft,In Development,In preprod testing,In Progress,In team environment testing,Open,PAUSED,Peer Review,Ready For Development,Ready for preprod testing,Ready for refinement,Ready For Release,Ready for sign-off,Ready for team environment testing,Ready for testing,Ready to deploy to production,Refinement,Refinement Ready,Released,Researching,Review Ready,Signed off,Sprint ready,Testing,To Do,TODO,Will Not Implement
EPA-2392,Story,ai-project-test1,To Do,2025-05-02 21:13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2h 27m,-,-
EPA-2391,Epic,ai project - epic2,To Do,2025-05-02 21:10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2h 30m,-,-
EPA-2389,Bug,AAR - Double Escaping on Disapproval reason,To Do,2025-05-02 16:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7h 6m,-,-
EPA-2388,Sub-task,QA Team functional test,Completed,2025-05-02 12:00,-,-,-,8h 5m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3h 36m,0m,-,-
EPA-2387,Technical Story,FE: Request Smartling translations,To Do,2025-05-02 11:57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11h 43m,-,-
EPA-2386,Story,FE: Update place for static IDs to Bite Sized Insight Model,Signed off,2025-05-02 10:33,-,-,-,-,-,-,-,1h 16m,-,-,3h 35m,-,-,3m,-,-,-,-,38m,8m,-,-,-,-,-,-,-,7h 27m,-,-,0m,-,-
EPA-2385,Sub-task,QA Team functional test,To Do,2025-05-02 09:24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14h 16m,-,-
EPA-2384,Sub-task,Test case creation,To Do,2025-05-02 09:23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14h 17m,-,-
EPA-2383,Sub-task,QA Team functional test,To Do,2025-05-02 09:21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14h 19m,-,-
EPA-2382,Sub-task,Test case creation,In Progress,2025-05-02 09:21,-,-,-,-,-,-,-,-,-,14h 19m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2381,Story,Disable Select all,To Do,2025-05-01 14:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 9h 15m,-,-
EPA-2380,Epic,ai project Epic!,To Do,2025-05-01 03:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 20h 6m,-,-
EPA-2379,Sub-task,UX review,Completed,2025-04-30 14:03,-,-,-,2d 9h 37m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2378,Automation,FE Automation - Automate Create E2E Test,In Progress,2025-04-30 12:28,-,-,-,-,-,-,-,-,-,2d 11h 9m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3m,-,-
EPA-2377,Sub-task,FE - Automation Create Smoke Test,Completed,2025-04-30 12:27,-,-,-,2d 11h 13m,-,-,-,-,-,0m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2376,Sub-task,QA Team functional test,Completed,2025-04-30 11:15,-,-,-,11h 42m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 0h 43m,0m,-,-
EPA-2375,Task,Integrate FE Automation Pipeline In FE Pipeline & Prepare it for the DEMO,To Do,2025-04-30 11:03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 12h 37m,-,-
EPA-2374,Story,IQ Snapshots - Text tweak,Ready for refinement,2025-04-30 10:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 12h 45m,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2373,Sub-task,UX Review,Completed,2025-04-29 13:45,-,-,-,2d 8h 46m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 1h 9m,-,-
EPA-2372,Sub-task,UX Review,Completed,2025-04-29 13:44,-,-,-,2d 13h 16m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20h 40m,-,-
EPA-2371,Sub-task,QA Team functional test,Completed,2025-04-29 12:15,-,-,-,2d 12h 32m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22h 52m,0m,-,-
EPA-2370,Sub-task,Test case creation,Completed,2025-04-29 09:40,-,-,-,3d 13h 45m,-,-,-,-,-,15m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-2369,Story,Implement Cache Control Update in My Approvals MFE,Ready for refinement,2025-04-23 17:27,4d 19h 29m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 12h 34m,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 22h 10m,-,-
EPA-2368,Sub-task,QA Team functional test,Completed,2025-04-28 09:34,-,-,-,3d 11h 50m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19h 34m,6h 42m,-,-
EPA-2367,Sub-task,QA Team functional test,Completed,2025-04-28 09:32,-,-,-,4d 7h 25m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6h 43m,0m,-,-
EPA-2366,Story,Pills - Award value colours,Deployed to production,2025-04-25 15:21,-,-,-,-,2d 2h 17m,-,-,2d 21h 45m,-,-,22h 51m,-,-,5m,-,-,-,-,2h 56m,22h 16m,-,-,-,-,-,-,-,7h 20m,-,-,49m,-,-
